log_p_x
-26.556714568782716
-18.064751957055435
-22.277082363727835
-21.445084647908157
-22.481618014641064
-17.039873760996585
-21.754772786354877
-18.425401005162378
-23.164688639165377
-21.169099885720488
-22.38076529246662
-22.222459383925752
-22.961491774047893
-25.078898262248515
-17.698023022099356
-16.688836041001693
-31.711271216715836
-20.93994762838731
-19.32581457374006
-18.496870978029587
-15.742402083852804
-27.54884460750484
-26.3753267435526
-25.0642826943427
-19.89944116474559
-25.960261760907372
-18.457080743322095
-15.738021541964555
-20.50620721398623
-15.504514666451124
-26.312249807578063
-18.735918751075182
-19.941026436941264
-25.552471226380057
-16.981735238498672
-21.709586725080246
-24.277253608638382
-19.263703246388467
-24.311483340743067
-20.661471543006137
-13.957029048738601
-22.89294575563109
-18.628180487042954
-19.644320484799923
-17.808580414807643
-23.422065403889363
-19.656039279009914
-26.51281568889879
-26.549932309406188
-18.2860410271741
-16.877786743730745
-22.447939271615958
-25.289774701958414
-22.628994193915524
-18.682570993294497
-19.911999283268642
-19.56719125958002
-16.833418310524948
-28.728201164305013
-20.560485394540848
-20.39412528754014
-17.913938239289394
-23.155750125355212
-26.011116044740383
-19.989730866130486
-26.450566774292845
-21.448075781363105
-16.396148465239026
-20.846507962151502
-20.780356907839135
-22.510200402712222
-18.27221344356348
-16.465491572097825
-18.484018376579748
-19.669473126500076
-20.54385854180444
-24.290556015763514
-19.390783692826098
-23.178227075717707
-16.199541896752798
-16.020506029011038
-17.862262896600598
-17.141353213696227
-21.617160608640695
-25.418293050961402
-22.637175928570386
-24.92411743319412
-19.758635254795102
-15.227130093247176
-22.107753002901227
-20.232680838890094
-22.02349094045308
-16.463542655677784
-23.210073121880498
-27.66323264047515
-26.701255186860045
-17.95463989125696
-18.61387273714087
-16.01824039148119
-19.493547100806353
-22.337480696927983
-24.831493729151894
-21.29325939973286
-17.787089378227172
-18.210775269763793
-22.696053543397127
-19.00646377943486
-24.488687247834918
-18.144720327150047
-15.356444435039965
-23.36324285890266
-22.41857265441722
-13.987938763839416
-21.855352127615255
-20.647055796665715
-21.925652031906676
